Sunnyside School Rain Gage - 3421 SE. Salmon St.

PROVISIONAL, UNCORRECTED RAW DATA FROM THE CITY OF PORTLAND HYDRA NETWORK.
Data are the number of tips of the rain gage bucket.
Each tip is 0.01 inches of rainfall.
 [-, missing data]
Dates and times are PACIFIC STANDARD TIME.

            Daily  Hourly data -->
   Date     Total    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
------------------------------------------------------------------------------------------------------------------
29-MAR-2018     0
28-MAR-2018     0
27-MAR-2018     3
26-MAR-2018     4
25-MAR-2018     9
24-MAR-2018    20
23-MAR-2018    62
22-MAR-2018    63
21-MAR-2018    23
20-MAR-2018     0
19-MAR-2018     0
18-MAR-2018     1
17-MAR-2018    20
16-MAR-2018     6
15-MAR-2018    21
14-MAR-2018     1
13-MAR-2018    37
12-MAR-2018     0
11-MAR-2018     0
10-MAR-2018     0
09-MAR-2018     1
08-MAR-2018    46
07-MAR-2018     0
06-MAR-2018     1
05-MAR-2018     1
04-MAR-2018     1
03-MAR-2018     0
02-MAR-2018     0
01-MAR-2018     5
28-FEB-2018    34
27-FEB-2018     2
26-FEB-2018     1
25-FEB-2018    22
24-FEB-2018    18
23-FEB-2018     1
22-FEB-2018    20
21-FEB-2018    30
20-FEB-2018    13
19-FEB-2018    12
18-FEB-2018    43
17-FEB-2018    13
16-FEB-2018     9
15-FEB-2018     1
14-FEB-2018    27
13-FEB-2018     0
12-FEB-2018     0
11-FEB-2018     0
10-FEB-2018     1
09-FEB-2018     0
08-FEB-2018     0
07-FEB-2018     0
06-FEB-2018     0
05-FEB-2018     0
04-FEB-2018     0
03-FEB-2018     1
02-FEB-2018     4
01-FEB-2018    11
31-JAN-2018     0
30-JAN-2018     3
29-JAN-2018    44
28-JAN-2018     1
27-JAN-2018    36
26-JAN-2018    27
25-JAN-2018    25
24-JAN-2018    63
23-JAN-2018    58
22-JAN-2018    12
21-JAN-2018    22
20-JAN-2018     1
19-JAN-2018     5
18-JAN-2018    23
17-JAN-2018    53
16-JAN-2018     8
15-JAN-2018     6
14-JAN-2018     0
13-JAN-2018     0
12-JAN-2018     5
11-JAN-2018    77
10-JAN-2018     7
09-JAN-2018    58
08-JAN-2018     6
07-JAN-2018    10
06-JAN-2018     2
05-JAN-2018    36
04-JAN-2018     5
03-JAN-2018     0
